epoch,train_loss,lr,val_accuracy,val_balanced_acc,val_macro_f1,val_angry_f1,val_fear_f1,val_sad_f1,is_best,epoch_time_sec
1,0.2761,4.2e-05,0.5166,0.5312,0.412,0.2487,0.0755,0.1304,False,376.3
2,0.2185,3.4e-05,0.5146,0.5293,0.408,0.2619,0.0684,0.1264,False,382.8
3,0.1919,2.3e-05,0.5202,0.5243,0.4158,0.2632,0.0791,0.1204,False,427.7
4,0.1652,1.2e-05,0.5196,0.5228,0.4247,0.2887,0.0788,0.1229,False,389.2
5,0.1447,4e-06,0.5177,0.5194,0.4165,0.2598,0.0759,0.0943,False,389.6
6,0.1357,1e-06,0.516,0.5166,0.4122,0.2263,0.0725,0.0863,False,380.9
