actual,angry,disgust,fear,happy,sad,surprise,neutral
angry,0.41541755888650966,0.0,0.07066381156316917,0.19271948608137046,0.07922912205567452,0.023554603854389723,0.21841541755888652
disgust,0.44642857142857145,0.03571428571428571,0.10714285714285714,0.23214285714285715,0.07142857142857142,0.0,0.10714285714285714
fear,0.12903225806451613,0.0020161290322580645,0.2439516129032258,0.14919354838709678,0.19556451612903225,0.0625,0.21774193548387097
happy,0.01899441340782123,0.0,0.024581005586592177,0.9050279329608939,0.00558659217877095,0.01564245810055866,0.030167597765363128
sad,0.08116385911179173,0.0,0.0903522205206738,0.29249617151607965,0.29709035222052066,0.006125574272588055,0.2327718223583461
surprise,0.03132530120481928,0.0,0.18072289156626506,0.06746987951807229,0.016867469879518072,0.5951807228915663,0.10843373493975904
neutral,0.044481054365733116,0.0,0.06260296540362438,0.3113673805601318,0.09225700164744646,0.008237232289950576,0.48105436573311366
