actual,angry,disgust,fear,happy,sad,surprise,neutral
angry,0.15203426124197003,0.0,0.12419700214132762,0.4282655246252677,0.11991434689507495,0.034261241970021415,0.14132762312633834
disgust,0.10714285714285714,0.0,0.14285714285714285,0.5,0.08928571428571429,0.03571428571428571,0.125
fear,0.10080645161290322,0.0,0.19153225806451613,0.3971774193548387,0.125,0.07056451612903226,0.11491935483870967
happy,0.027932960893854747,0.0,0.04357541899441341,0.8256983240223463,0.03128491620111732,0.01675977653631285,0.054748603351955305
sad,0.07656967840735068,0.0,0.09188361408882083,0.5084226646248086,0.17611026033690658,0.013782542113323124,0.1332312404287902
surprise,0.10361445783132531,0.0,0.1710843373493976,0.21686746987951808,0.04578313253012048,0.3855421686746988,0.07710843373493977
neutral,0.07413509060955518,0.0,0.09225700164744646,0.5057660626029654,0.10378912685337727,0.013179571663920923,0.21087314662273476
