actual,angry,disgust,fear,happy,sad,surprise,neutral
angry,0.4132762312633833,0.0,0.0728051391862955,0.19271948608137046,0.07922912205567452,0.02569593147751606,0.21627408993576017
disgust,0.44642857142857145,0.03571428571428571,0.10714285714285714,0.23214285714285715,0.07142857142857142,0.0,0.10714285714285714
fear,0.13306451612903225,0.0020161290322580645,0.2439516129032258,0.14717741935483872,0.1935483870967742,0.0625,0.21774193548387097
happy,0.017877094972067038,0.0,0.02346368715083799,0.906145251396648,0.0067039106145251395,0.01564245810055866,0.030167597765363128
sad,0.0781010719754977,0.0,0.0903522205206738,0.29096477794793263,0.29709035222052066,0.006125574272588055,0.23736600306278713
surprise,0.03132530120481928,0.0,0.1855421686746988,0.06746987951807229,0.016867469879518072,0.5903614457831325,0.10843373493975904
neutral,0.044481054365733116,0.0,0.06260296540362438,0.3113673805601318,0.09060955518945635,0.008237232289950576,0.4827018121911038
