actual,angry,disgust,fear,happy,sad,surprise,neutral
angry,0.5053533190578159,0.008565310492505354,0.044967880085653104,0.09421841541755889,0.12419700214132762,0.032119914346895075,0.1905781584582441
disgust,0.375,0.10714285714285714,0.16071428571428573,0.10714285714285714,0.08928571428571429,0.017857142857142856,0.14285714285714285
fear,0.12903225806451613,0.0020161290322580645,0.2560483870967742,0.05241935483870968,0.21169354838709678,0.13306451612903225,0.2157258064516129
happy,0.024581005586592177,0.0,0.008938547486033519,0.8502793296089386,0.01452513966480447,0.02011173184357542,0.08156424581005586
sad,0.10719754977029096,0.0015313935681470138,0.07503828483920368,0.08269525267993874,0.3996937212863706,0.019908116385911178,0.31393568147013784
surprise,0.06265060240963856,0.0,0.05060240963855422,0.05301204819277108,0.01927710843373494,0.744578313253012,0.06987951807228916
neutral,0.05601317957166392,0.0,0.029654036243822075,0.09060955518945635,0.09555189456342669,0.018121911037891267,0.7100494233937397
