actual,angry,disgust,fear,happy,sad,surprise,neutral
angry,0.5653104925053534,0.010706638115631691,0.042826552462526764,0.06638115631691649,0.08137044967880086,0.042826552462526764,0.1905781584582441
disgust,0.5357142857142857,0.14285714285714285,0.05357142857142857,0.07142857142857142,0.05357142857142857,0.017857142857142856,0.125
fear,0.17338709677419356,0.006048387096774193,0.2762096774193548,0.05040322580645161,0.17540322580645162,0.13709677419354838,0.1814516129032258
happy,0.03687150837988827,0.0,0.012290502793296089,0.8402234636871508,0.013407821229050279,0.0223463687150838,0.07486033519553073
sad,0.14701378254211334,0.0,0.08728943338437979,0.09188361408882083,0.3782542113323124,0.02909647779479326,0.2664624808575804
surprise,0.04096385542168675,0.0,0.06506024096385542,0.04819277108433735,0.016867469879518072,0.7807228915662651,0.04819277108433735
neutral,0.08896210873146623,0.0,0.05271828665568369,0.10873146622734761,0.09060955518945635,0.03130148270181219,0.627677100494234
