actual,angry,disgust,fear,happy,sad,surprise,neutral
angry,0.5396145610278372,0.004282655246252677,0.08993576017130621,0.05353319057815846,0.08993576017130621,0.03854389721627409,0.1841541755888651
disgust,0.4642857142857143,0.08928571428571429,0.16071428571428573,0.07142857142857142,0.08928571428571429,0.017857142857142856,0.10714285714285714
fear,0.14516129032258066,0.0020161290322580645,0.2923387096774194,0.04233870967741935,0.21975806451612903,0.12096774193548387,0.1774193548387097
happy,0.03910614525139665,0.0,0.024581005586592177,0.8067039106145252,0.01452513966480447,0.034636871508379886,0.08044692737430167
sad,0.14088820826952528,0.0,0.09494640122511486,0.08422664624808576,0.3905053598774885,0.02450229709035222,0.2649310872894334
surprise,0.024096385542168676,0.0,0.09156626506024096,0.033734939759036145,0.02650602409638554,0.7493975903614458,0.0746987951807229
neutral,0.08731466227347612,0.0,0.042833607907743,0.08896210873146623,0.10049423393739704,0.018121911037891267,0.6622734761120264
